,language,string,keywords,id,answertype,aggregation,onlydbo,hybrid,query.sparql,uri.type,uri.value,c.type,c.value,string.type,string.value,date.type,date.value
14788,en,Who was the doctoral supervisor of Albert Einstein?,"doctoral supervisor, Albert Einstein",337,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Albert_Einstein dbo:doctoralAdvisor ?uri },uri,http://dbpedia.org/resource/Alfred_Kleiner,,,,,,
14789,en,Who was Vincent van Gogh inspired by?,"person, inspiring, Vincent van Gogh",339,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:influenced res:Vincent_van_Gogh },uri,http://dbpedia.org/resource/Anton_Mauve,,,,,,
14790,en,Which building after the Burj Khalifa has the most floors?,"building, after, Burj Khalifa, most floors",340,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:Burj_Khalifa dbo:floorCount ?burj . ?uri rdf:type dbo:Building ; dbo:floorCount ?proj FILTER ( ?proj < ?burj ) } ORDER BY DESC(?proj) LIMIT 1,uri,http://dbpedia.org/resource/102_Incheon_Tower,,,,,,
14791,en,What was the final result of the War of the Roses?,"result, War of Roses",341,string,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT DISTINCT ?result WHERE { ?uri dbo:isPartOfMilitaryConflict dbr:Wars_of_the_Roses ; dbo:result ?result ; dbo:date ?date } ORDER BY DESC(?date) OFFSET 0 LIMIT 1,,,,,literal,Decisive Tudor victory,,
14792,en,How much did Pulp Fiction cost?,"cost, Pulp Fiction",342,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?n WHERE { res:Pulp_Fiction dbo:budget ?n },,,literal,8.0,,,,
14793,en,Who is starring in Spanish movies produced by Benicio del Toro?,"starring, Spanish movies, produced, Benicio del Toro",345,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?film rdf:type dbo:Film ; dbo:country res:Spain ; dbo:producer res:Benicio_del_Toro ; dbo:starring ?uri . ?uri rdf:type dbo:Person },uri,http://dbpedia.org/resource/Benicio_del_Toro,,,,,,
14797,en,Where was Bach born?,"birthplace, Bach",348,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Johann_Sebastian_Bach dbo:birthPlace ?uri },uri,http://dbpedia.org/resource/Eisenach,,,,,,
14798,en,Which city has the oldest running metro?,"city, oldest running metro",349,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?loc WHERE { ?uri dbo:type dbr:Rapid_transit ; dbo:openingYear ?date ; dbo:location ?loc . ?loc rdf:type dbo:City } ORDER BY ASC(?date) LIMIT 1,uri,http://dbpedia.org/resource/Almaty,,,,,,
14799,en,Who designed the Brooklyn Bridge?,"Brooklyn Bridge, design",350,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Brooklyn_Bridge dbo:architect ?uri },uri,http://dbpedia.org/resource/John_Augustus_Roebling,,,,,,
14800,en,How many people live in Eurasia?,"people, Eurasia",351,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?population WHERE { res:Eurasia dbo:populationTotal ?population },,,literal,5041175000,,,,
14801,en,Who is the host of the BBC Wildlife Specials?,"host, BBC Wildlife Specials",352,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:BBC_Wildlife_Specials dbo:presenter ?uri },uri,http://dbpedia.org/resource/David_Attenborough,,,,,,
14802,en,"What is the total population of Melbourne, Florida?","total population, Melbourne Florida",353,number,False,True,False,"PREFIX dbo: <http://dbpedia.org/ontology/> SELECT ?uri WHERE { <http://dbpedia.org/resource/Melbourne,_Florida> dbo:populationTotal ?uri }",,,literal,76068,,,,
14807,en,When did Operation Overlord commence?,"when, Operation Overlord, commence",356,date,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?d WHERE { res:Operation_Overlord dbo:date ?d },,,,,,,literal,1944-08-30
14808,en,What is the bridge with the longest span?,"bridge, longest span",357,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Bridge ; dbo:mainspan ?s } ORDER BY DESC(?s) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Overseas_Highway,,,,,,
14811,en,How many children did Benjamin Franklin have?,"Benjamin Franklin, child",362,number,True,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Benjamin_Franklin dbo:child ?uri },,,literal,3,,,,
14812,en,How tall is Michael Jordan?,"tall, Michael Jordan",363,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Michael_Jordan dbo:height ?num },,,literal,1.9812,,,,
14813,en,In which UK city are the headquarters of the MI6?,"MI6, headquarters, city, UK",364,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:Secret_Intelligence_Service dbo:headquarter ?uri . ?uri dbo:country res:United_Kingdom },uri,http://dbpedia.org/resource/London,,,,,,
14814,en,Who created Family Guy?,"create, Family Guy",365,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Family_Guy dbo:creator ?uri },uri,http://dbpedia.org/resource/Seth_MacFarlane,,,,,,
14815,en,In which city does the Chile Route 68 end?,"city, Chile Route 68, ends",366,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Chile_Route_68 dbo:routeEnd ?uri },uri,http://dbpedia.org/resource/Valparaíso,,,,,,
14816,en,Give me the grandchildren of Elvis Presley.,"Elvis Presley, grandchildren",367,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Elvis_Presley dbo:child ?child . ?child dbo:child ?uri },uri,http://dbpedia.org/resource/Riley_Keough,,,,,,
14817,en,When did the Ming dynasty dissolve?,"dissolve, Ming dynasty",368,date,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?date WHERE { res:Ming_dynasty dbo:dissolutionDate ?date },,,,,,,literal,1644-04-25
14824,en,What is the timezone in San Pedro de Atacama?,"timezone, San Pedro de Atacama",370,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:San_Pedro_de_Atacama dbo:timeZone ?uri },uri,http://dbpedia.org/resource/Time_in_Chile,,,,,,
14835,en,What did Bruce Carver die from?,"Bruce Carver, die",372,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Bruce_Carver dbo:deathCause ?uri },uri,http://dbpedia.org/resource/Cancer,,,,,,
14836,en,Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,"subsidiary, Lufthansa, serve, Dortmund, Berlin Tegel",373,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Lufthansa dbo:subsidiary ?uri . ?uri dbo:targetAirport res:Dortmund_Airport ; dbo:targetAirport res:Berlin_Tegel_Airport },uri,http://dbpedia.org/resource/Germanwings,,,,,,
14837,en,In which city does Sylvester Stallone live?,"city, live, Sylvester Stallone",377,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City . res:Sylvester_Stallone dbo:residence ?uri },uri,"http://dbpedia.org/resource/Beverly_Hills,_California",,,,,,
14844,en,What is the capital of Canada?,"capital, Canada",380,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Canada dbo:capital ?uri },uri,http://dbpedia.org/resource/Ottawa,,,,,,
14845,en,Who is the mayor of Tel Aviv?,"Tel Aviv, mayor",381,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Tel_Aviv dbo:leaderName ?uri },uri,http://dbpedia.org/resource/Ron_Huldai,,,,,,
14846,en,What form of government does Russia have?,"form of government, Russia",382,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Russia dbo:governmentType ?uri },uri,http://dbpedia.org/resource/Federalism,,,,,,
14853,en,How many languages are spoken in Colombia?,"languages, Colombia",385,number,True,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri rdf:type dbo:Language . res:Colombia dbo:language ?uri },,,literal,2,,,,
14854,en,What is the currency of the Czech Republic?,"Czech republic, currency",386,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Czech_Republic dbo:currency ?uri },uri,http://dbpedia.org/resource/Czech_koruna,,,,,,
14855,en,Where in France is sparkling wine produced?,"produced, France, sparkling wine",387,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:wineProduced res:Sparkling_wine ; dbo:location res:France },uri,http://dbpedia.org/resource/Loire_Valley_(wine),,,,,,
14856,en,When did Boris Becker end his active career?,"Boris Becker, end career",388,date,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?d WHERE { res:Boris_Becker dbo:activeYearsEndDate ?d },,,,,,,literal,1999-06-25
14857,en,Which movies starring Mickey Rourke were directed by Guy Ritchie?,"movies, starring, Mickey Rourke, directed, Guy Ritchie",389,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film ; dbo:starring res:Mickey_Rourke ; dbo:director res:Guy_Ritchie },uri,http://dbpedia.org/resource/The_Hire,,,,,,
14860,en,Show me Hemingway's autobiography.,"autobiography, Hemingway",391,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:author res:Ernest_Hemingway ; dbo:literaryGenre res:Autobiography },uri,http://dbpedia.org/resource/A_Moveable_Feast,,,,,,
14861,en,How tall is Amazon Eve?,"Amazon Eve, tall",392,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?height WHERE { res:Amazon_Eve dbo:height ?height },,,literal,2.02,,,,
14867,en,Give me all Canadian Grunge record labels.,"record label, Canadian, Grunge",394,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:RecordLabel ; dbo:genre res:Grunge ; dbo:country res:Canada },uri,http://dbpedia.org/resource/Murderecords,,,,,,
14868,en,In which country does the Ganges start?,"Ganges, start, country",395,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Ganges dbo:sourceCountry ?uri },uri,http://dbpedia.org/resource/India,,,,,,
14869,en,Who is the founder of Penguin Books?,"founder, Penguin Books",396,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:Penguin_Books dbo:founder ?uri },uri,http://dbpedia.org/resource/Allen_Lane,,,,,,
14870,en,Who wrote the Game of Thrones theme?,"writer, Game of Thrones",397,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Game_of_Thrones dbo:composer ?uri },uri,http://dbpedia.org/resource/Ramin_Djawadi,,,,,,
14871,en,Who is the president of Eritrea?,"president, Eritrea",398,resource,False,True,False,"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Eritrea dbo:leader ?uri ; dbo:leaderTitle ""President""@en }",uri,http://dbpedia.org/resource/Isaias_Afwerki,,,,,,
14872,en,In which city did John F. Kennedy die?,"city, John F. Kennedy, die",399,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:John_F._Kennedy dbo:deathPlace ?uri . ?uri rdf:type dbo:City },uri,http://dbpedia.org/resource/Dallas,,,,,,
14873,en,What is the highest mountain in Australia?,"Australia, highest mountain",400,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Mountain ; dbo:locatedInArea res:Australia ; dbo:elevation ?elevation } ORDER BY DESC(?elevation) LIMIT 1,uri,http://dbpedia.org/resource/Mawson_Peak,,,,,,
14876,en,Give me the currency of China.,"currency, China",402,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:China dbo:currency ?uri },uri,http://dbpedia.org/resource/Renminbi,,,,,,
14877,en,Give me all Swedish oceanographers.,"Swedish, oceanographer",403,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:field res:Oceanography ; dbo:birthPlace res:Sweden },uri,http://dbpedia.org/resource/Vagn_Walfrid_Ekman,,,,,,
14878,en,In which city are the headquarters of the United Nations?,"city, headquarters of the United Nations",404,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:Headquarters_of_the_United_Nations dbo:location ?uri . ?uri rdf:type dbo:City },uri,http://dbpedia.org/resource/New_York_City,,,,,,
14882,en,Which of Tim Burton's films had the highest budget?,"highest budget, film, Tim Burton",407,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:director res:Tim_Burton ; dbo:budget ?b } ORDER BY ?b OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Big_Eyes,,,,,,
14883,en,Which museum in New York has the most visitors?,"museum, New York, the most visitors",408,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Museum ; dbo:location res:New_York_City ; dbo:numberOfVisitors ?num } ORDER BY DESC(?num) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Metropolitan_Museum_of_Art,,,,,,
14884,en,What was the first Queen album?,"first album, Queen",409,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Album ; dbo:artist <http://dbpedia.org/resource/Queen_(band)> ; dbo:releaseDate ?d } ORDER BY ASC(?d) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Queen_(Queen_album),,,,,,
14885,en,What was the first name of the band Queens of the Stone Age?,"first name, Queens of the Stone Age",410,string,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?name WHERE { res:Queens_of_the_Stone_Age dbo:alias ?name },,,,,literal,Gamma Ray (1996–1997),,
14886,en,What was the last movie with Alec Guinness?,"Alec Guinness, last, movie",411,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film ; dbo:starring res:Alec_Guinness ; dbo:releaseDate ?date } ORDER BY DESC(?date) LIMIT 1,uri,http://dbpedia.org/resource/Kafka_(film),,,,,,
14897,en,Who discovered Pluto?,"discovered, Pluto",413,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?uri WHERE { dbr:Pluto dbo:discoverer ?uri },uri,http://dbpedia.org/resource/Clyde_Tombaugh,,,,,,
